target,text
ham,You still around? I could use a half-8th
ham,"I'll see, but prolly yeah"
ham,I will reach ur home in  &lt;#&gt;  minutes
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,Havent still waitin as usual... ÌÏ come back sch oredi?
ham,Ok then u tell me wat time u coming later lor.
ham,Hey company elama po mudyadhu.
ham,K tell me anything about you.
ham,Yes. Last  practice
ham,Its ok..come to my home it vl nice to meet and v can chat..
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Hey what are you doing. Y no reply pa..
ham,Oh k...i'm watching here:)
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
ham,I liked the new mobile
ham,Its just the effect of irritation. Just ignore it
ham,"I've got  &lt;#&gt; , any way I could pick up?"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470"
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,Wat time do u wan 2 meet me later?
ham,I accidentally deleted the message. Resend please.
ham,"Sorry, I'll call later"
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
ham,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,No i am not having not any movies in my laptop
ham,"Aight, I'll ask a few of my roommates"
ham,Ok...
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,Ok then i will come to ur home after half an hour
ham,Yes see ya not on the dot
ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Oh ok..
ham,"\Im on gloucesterroad what are uup to later?\"""""
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,Where are the garage keys? They aren't on the bookshelf
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,You were supposed to wake ME up &gt;:(
ham,Okie but i scared u say i fat... Then u dun wan me already...
ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,Long time. You remember me today.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,I am not at all happy with what you saying or doing
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
ham,I dont want to hear anything
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,I borrow ur bag ok.
ham,"Fuuuuck I need to stop sleepin, sup"
ham,And how's your husband.
ham,Am i that much dirty fellow?
ham,Hey gals...U all wanna meet 4 dinner at nÌÂte? 
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
ham,I cant pick the phone right now. Pls send a message
ham,"IÛ÷ll leave around four, ok?"
ham,Ill be there on  &lt;#&gt;  ok.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,You are right. Meanwhile how's project twins comin up
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\"""""
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,I'm in inside office..still filling forms.don know when they leave me.
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,I am late. I will be there at
ham,Ok lor...
ham,Hi :)finally i completed the course:)
ham,Just taste fish curry :-P
ham,"What will we do in the shower, baby?"
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
ham,Cold. Dont be sad dear
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH
ham,I am great princess! What are you thinking about me? :)
ham,I dont thnk its a wrong calling between us
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,Smith waste da.i wanna gayle.
ham,You see the requirements please
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,I'm reaching home in 5 min.
ham,No no. I will check all rooms befor activities
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Prakesh is there know.
spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,Do you work all this week ?
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,"Aight fuck it, I'll get it later"
ham,Yeah we do totes. When u wanna?
ham,Hey anyway i have to :-)
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,Do I? I thought I put it back in the box
ham,Can do lor...
ham,Yes princess! I want to please you every night. Your wish is my command...
ham,Hi:)did you asked to waheeda fathima about leave?
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,Is fujitsu s series lifebook good?
ham,Understand. his loss is my gain :) so do you work? School?
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
ham,Ok thanx...
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,No just send to you. Bec you in temple na.
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP"
ham,Erutupalam thandiyachu
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
ham,"I'll get there at 3, unless you guys want me to come some time sooner"
ham,Ok.ok ok..then..whats ur todays plan
ham,Ok.
ham,No did you check? I got his detailed message now
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
ham,"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it."
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
ham,Ya very nice. . .be ready on thursday
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,Lol yeah at this point I guess not
ham,You will be in the place of that man
ham,Bognor it is! Should be splendid at this time of year.
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,So u gonna get deus ex?
ham,Hurry home. Soup is DONE!
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,K.k..how is your sister kids?
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"""
ham,We can go 4 e normal pilates after our intro...  
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
ham,i dnt wnt to tlk wid u
ham,Were gonna go get some tacos
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Now get step 2 outta the way. Congrats again.
ham,I'm done...
ham,See? I thought it all through
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,No problem. Talk to you later
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,I dunno they close oredi not... ÌÏ v ma fan...
spam,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,U attend ur driving lesson how many times a wk n which day?
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
ham,I have to take exam with march 3
ham,You can jot down things you want to remember later.
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,Moji i love you more than words. Have a rich day
ham,"Gumby's has a special where a  &lt;#&gt; \ cheese pizza is $2 so I know what we're doin tonight"""
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx
ham,I might go 2 sch. Yar at e salon now v boring.
ham,Ok no prob... I'll come after lunch then...
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,Ok
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham,Printer is cool. I mean groovy. Wine is groovying
ham,"I hav almost reached. Call, i m unable to connect u."
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!
ham,You are not bothering me but you have to trust my answers. Pls.
ham,What's nannys address?
ham,I think it's all still in my car
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
ham,No da. . Vijay going to talk in jaya tv
ham,Convey my regards to him
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,am up to my eyes in philosophy
ham,ÌÏ comin to fetch us oredi...
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,Thx. All will be well in a few months
ham,Morning only i can ok.
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
spam,3. You have received your mobile content. Enjoy
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
ham,"Don't worry, * is easy once have ingredients!"
spam,Filthy stories and GIRLS waiting for your
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,What Today-sunday..sunday is holiday..so no work..
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Did u got that persons story
ham,Jus finish bathing...
ham,I dont thnk its a wrong calling between us
ham,Ill call you evening ill some ideas.
ham,But i dint slept in afternoon.
ham,I think just yourself Û_Thanks and see you tomo
ham,We still on for tonight?
ham,"Sorry, I'll call later"
ham,No let me do the math. Your not good at it.
ham,Yeah it's jus rite...
ham,Is toshiba portege m100 gd?
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,She's good. How are you. Where r u working now
ham,Just haven't decided where yet eh ?
ham,U still painting ur wall?
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
ham,Am going to take bath ill place the key in window:-)
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,"Sorry battery died, yeah I'm here"
ham,Then. You are eldest know.
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,Tell where you reached
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
ham,Then she buying today? ÌÏ no need to c meh...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
ham,Wife.how she knew the time of murder exactly
ham,Eh den sat u book e kb liao huh...
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,"Yo, any way we could pick something up tonight?"
ham,I went to project centre
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,"So check your errors and if you had difficulties, do correction."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,You stayin out of trouble stranger!!saw Dave the other day heåÕs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,Draw va?i dont think so:)
ham,Okie.. Thanx..
spam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
ham,Then anything special?
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x"
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.
ham,"Goodmorning,my grandfather expired..so am on leave today."
ham,Hi mom we might be back later than  &lt;#&gt; 
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
ham,Yes fine 
ham,This weekend is fine (an excuse not to do too much decorating)
ham,It vl bcum more difficult..
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,Ok k..sry i knw 2 siva..tats y i askd..
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,Its good to hear from you
ham,Hanging out with my brother and his family
ham,U should have made an appointment
ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,Already one guy loving you:-.
